source_primal,as_of,boxes_on_hand,velocity_tier
Round,2025-07-03,7.5,medium
Striploin Whole,2025-07-03,10.1,medium
Pork Loin,2025-07-03,23.3,best
Chuck Flat,2025-07-03,21.7,best
Pork Belly,2025-07-03,20.6,best
Chuck Primal,2025-07-03,20.7,best
Blade Eyes,2025-07-03,19.5,best
Tenderloin,2025-07-04,1.4,low
Shank,2025-07-04,5.1,low
Wagyu Flat Iron,2025-07-04,5.4,low
6X6 Frenched,2025-07-04,5.8,low
Plate,2025-07-04,5.3,low
Flank,2025-07-04,5.2,low
Bone-in Ribeye,2025-07-04,10.3,medium
Brisket,2025-07-04,11.0,medium
Pork Shoulder,2025-07-04,9.6,medium
Top Sirloin Butt,2025-07-04,9.6,medium
Round,2025-07-04,8.8,medium
Striploin Whole,2025-07-04,10.8,medium
Pork Loin,2025-07-04,20.5,best
Chuck Flat,2025-07-04,22.6,best
Pork Belly,2025-07-04,24.2,best
Chuck Primal,2025-07-04,20.7,best
Blade Eyes,2025-07-04,20.4,best
Tenderloin,2025-07-05,1.4,low
Shank,2025-07-05,5.5,low
Wagyu Flat Iron,2025-07-05,5.0,low
6X6 Frenched,2025-07-05,4.1,low
Plate,2025-07-05,5.2,low
Flank,2025-07-05,5.2,low
Bone-in Ribeye,2025-07-05,10.7,medium
Brisket,2025-07-05,10.4,medium
Pork Shoulder,2025-07-05,9.8,medium
Top Sirloin Butt,2025-07-05,9.1,medium
Round,2025-07-05,11.4,medium
Striploin Whole,2025-07-05,10.3,medium
Pork Loin,2025-07-05,21.1,best
Chuck Flat,2025-07-05,20.3,best
Pork Belly,2025-07-05,22.1,best
Chuck Primal,2025-07-05,18.9,best
Blade Eyes,2025-07-05,19.1,best
Tenderloin,2025-07-06,0.7,low
Shank,2025-07-06,3.3,low
Wagyu Flat Iron,2025-07-06,0.9,low
6X6 Frenched,2025-07-06,2.1,low
Plate,2025-07-06,1.0,low
Flank,2025-07-06,1.3,low
Bone-in Ribeye,2025-07-06,7.6,medium
Brisket,2025-07-06,7.9,medium
Pork Shoulder,2025-07-06,5.6,medium
Top Sirloin Butt,2025-07-06,5.3,medium
Round,2025-07-06,4.0,medium
Striploin Whole,2025-07-06,3.5,medium
Pork Loin,2025-07-06,9.0,best
Chuck Flat,2025-07-06,12.1,best
Pork Belly,2025-07-06,5.4,best
Chuck Primal,2025-07-06,1.9,best
Blade Eyes,2025-07-06,0.0,best
Tenderloin,2025-07-07,1.9,low
Shank,2025-07-07,5.1,low
Wagyu Flat Iron,2025-07-07,5.3,low
6X6 Frenched,2025-07-07,0.4,low
Plate,2025-07-07,4.6,low
Flank,2025-07-07,5.4,low
Bone-in Ribeye,2025-07-07,5.1,medium
Brisket,2025-07-07,8.4,medium
Pork Shoulder,2025-07-07,10.1,medium
Top Sirloin Butt,2025-07-07,9.4,medium
Round,2025-07-07,7.5,medium
Striploin Whole,2025-07-07,11.6,medium
Pork Loin,2025-07-07,17.5,best
Chuck Flat,2025-07-07,21.8,best
Pork Belly,2025-07-07,23.3,best
Chuck Primal,2025-07-07,22.0,best
Blade Eyes,2025-07-07,24.4,best
Tenderloin,2025-07-08,1.7,low
Shank,2025-07-08,5.7,low
Wagyu Flat Iron,2025-07-08,5.1,low
6X6 Frenched,2025-07-08,4.8,low
Plate,2025-07-08,4.9,low
Flank,2025-07-08,5.8,low
Bone-in Ribeye,2025-07-08,3.3,medium
Brisket,2025-07-08,10.4,medium
Pork Shoulder,2025-07-08,11.4,medium
Top Sirloin Butt,2025-07-08,10.7,medium
Round,2025-07-08,8.9,medium
Striploin Whole,2025-07-08,11.0,medium
Pork Loin,2025-07-08,20.9,best
Chuck Flat,2025-07-08,20.7,best
Pork Belly,2025-07-08,22.6,best
Chuck Primal,2025-07-08,21.0,best
Blade Eyes,2025-07-08,20.9,best
Tenderloin,2025-07-09,1.7,low
Shank,2025-07-09,5.4,low
Wagyu Flat Iron,2025-07-09,5.7,low
6X6 Frenched,2025-07-09,5.0,low
Plate,2025-07-09,5.1,low
Flank,2025-07-09,5.0,low
Bone-in Ribeye,2025-07-09,1.4,medium
Brisket,2025-07-09,8.9,medium
Pork Shoulder,2025-07-09,10.6,medium
Top Sirloin Butt,2025-07-09,9.1,medium
Round,2025-07-09,8.1,medium
Striploin Whole,2025-07-09,8.4,medium
Pork Loin,2025-07-09,20.2,best
Chuck Flat,2025-07-09,21.3,best
Pork Belly,2025-07-09,23.5,best
Chuck Primal,2025-07-09,19.2,best
Blade Eyes,2025-07-09,21.5,best
Tenderloin,2025-07-10,1.5,low
Shank,2025-07-10,5.2,low
Wagyu Flat Iron,2025-07-10,5.3,low
6X6 Frenched,2025-07-10,5.4,low
Plate,2025-07-10,4.9,low
Flank,2025-07-10,5.3,low
Bone-in Ribeye,2025-07-10,9.4,medium
Brisket,2025-07-10,7.4,medium
Pork Shoulder,2025-07-10,11.4,medium
Top Sirloin Butt,2025-07-10,9.3,medium
Round,2025-07-10,9.2,medium
Striploin Whole,2025-07-10,9.2,medium
Pork Loin,2025-07-10,20.3,best
Chuck Flat,2025-07-10,24.5,best
Pork Belly,2025-07-10,24.7,best
Chuck Primal,2025-07-10,23.9,best
Blade Eyes,2025-07-10,5.8,best
Tenderloin,2025-07-11,1.9,low
Shank,2025-07-11,5.2,low
Wagyu Flat Iron,2025-07-11,5.2,low
6X6 Frenched,2025-07-11,5.5,low
Plate,2025-07-11,4.7,low
Flank,2025-07-11,4.7,low
Bone-in Ribeye,2025-07-11,7.5,medium
Brisket,2025-07-11,6.0,medium
Pork Shoulder,2025-07-11,9.1,medium
Top Sirloin Butt,2025-07-11,8.1,medium
Round,2025-07-11,8.9,medium
Striploin Whole,2025-07-11,8.9,medium
Pork Loin,2025-07-11,21.8,best
Chuck Flat,2025-07-11,20.6,best
Pork Belly,2025-07-11,19.5,best
Chuck Primal,2025-07-11,20.6,best
Blade Eyes,2025-07-11,0.0,best
Tenderloin,2025-07-12,1.5,low
Shank,2025-07-12,5.6,low
Wagyu Flat Iron,2025-07-12,4.9,low
6X6 Frenched,2025-07-12,5.0,low
Plate,2025-07-12,5.0,low
Flank,2025-07-12,5.0,low
Bone-in Ribeye,2025-07-12,5.0,medium
Brisket,2025-07-12,7.5,medium
Pork Shoulder,2025-07-12,5.9,medium
Top Sirloin Butt,2025-07-12,10.7,medium
Round,2025-07-12,10.3,medium
Striploin Whole,2025-07-12,10.2,medium
Pork Loin,2025-07-12,23.8,best
Chuck Flat,2025-07-12,20.6,best
Pork Belly,2025-07-12,22.3,best
Chuck Primal,2025-07-12,19.9,best
Blade Eyes,2025-07-12,0.0,best
Tenderloin,2025-07-13,0.8,low
Shank,2025-07-13,3.4,low
Wagyu Flat Iron,2025-07-13,0.8,low
6X6 Frenched,2025-07-13,2.9,low
Plate,2025-07-13,0.7,low
Flank,2025-07-13,1.1,low
Bone-in Ribeye,2025-07-13,1.9,medium
Brisket,2025-07-13,5.0,medium
Pork Shoulder,2025-07-13,1.7,medium
Top Sirloin Butt,2025-07-13,6.9,medium
Round,2025-07-13,2.9,medium
Striploin Whole,2025-07-13,3.4,medium
Pork Loin,2025-07-13,11.8,best
Chuck Flat,2025-07-13,12.3,best
Pork Belly,2025-07-13,5.6,best
Chuck Primal,2025-07-13,2.9,best
Blade Eyes,2025-07-13,0.0,best
Tenderloin,2025-07-14,1.9,low
Shank,2025-07-14,5.2,low
Wagyu Flat Iron,2025-07-14,4.0,low
6X6 Frenched,2025-07-14,5.2,low
Plate,2025-07-14,5.1,low
Flank,2025-07-14,4.5,low
Bone-in Ribeye,2025-07-14,8.6,medium
Brisket,2025-07-14,9.3,medium
Pork Shoulder,2025-07-14,0.0,medium
Top Sirloin Butt,2025-07-14,8.4,medium
Round,2025-07-14,9.0,medium
Striploin Whole,2025-07-14,10.0,medium
Pork Loin,2025-07-14,1.8,best
Chuck Flat,2025-07-14,24.7,best
Pork Belly,2025-07-14,20.5,best
Chuck Primal,2025-07-14,18.7,best
Blade Eyes,2025-07-14,21.1,best
Tenderloin,2025-07-15,1.5,low
Shank,2025-07-15,5.7,low
Wagyu Flat Iron,2025-07-15,4.8,low
6X6 Frenched,2025-07-15,5.6,low
Plate,2025-07-15,5.6,low
Flank,2025-07-15,5.5,low
Bone-in Ribeye,2025-07-15,10.0,medium
Brisket,2025-07-15,10.7,medium
Pork Shoulder,2025-07-15,0.0,medium
Top Sirloin Butt,2025-07-15,9.0,medium
Round,2025-07-15,7.6,medium
Striploin Whole,2025-07-15,9.3,medium
Pork Loin,2025-07-15,0.0,best
Chuck Flat,2025-07-15,21.7,best
Pork Belly,2025-07-15,19.9,best
Chuck Primal,2025-07-15,20.8,best
Blade Eyes,2025-07-15,23.6,best
Tenderloin,2025-07-16,1.4,low
Shank,2025-07-16,5.7,low
Wagyu Flat Iron,2025-07-16,5.3,low
6X6 Frenched,2025-07-16,5.3,low
Plate,2025-07-16,5.8,low
Flank,2025-07-16,5.0,low
Bone-in Ribeye,2025-07-16,9.2,medium
Brisket,2025-07-16,9.2,medium
Pork Shoulder,2025-07-16,0.0,medium
Top Sirloin Butt,2025-07-16,10.0,medium
Round,2025-07-16,8.7,medium
Striploin Whole,2025-07-16,10.6,medium
Pork Loin,2025-07-16,0.0,best
Chuck Flat,2025-07-16,22.6,best
Pork Belly,2025-07-16,21.5,best
Chuck Primal,2025-07-16,21.1,best
Blade Eyes,2025-07-16,18.1,best
Tenderloin,2025-07-17,1.7,low
Shank,2025-07-17,5.6,low
Wagyu Flat Iron,2025-07-17,5.3,low
6X6 Frenched,2025-07-17,5.5,low
Plate,2025-07-17,5.3,low
Flank,2025-07-17,5.6,low
Bone-in Ribeye,2025-07-17,9.4,medium
Brisket,2025-07-17,11.7,medium
Pork Shoulder,2025-07-17,0.0,medium
Top Sirloin Butt,2025-07-17,9.1,medium
Round,2025-07-17,8.8,medium
Striploin Whole,2025-07-17,8.4,medium
Pork Loin,2025-07-17,0.0,best
Chuck Flat,2025-07-17,20.4,best
Pork Belly,2025-07-17,20.7,best
Chuck Primal,2025-07-17,24.4,best
Blade Eyes,2025-07-17,21.6,best
Tenderloin,2025-07-18,1.6,low
Shank,2025-07-18,5.5,low
Wagyu Flat Iron,2025-07-18,5.5,low
6X6 Frenched,2025-07-18,5.0,low
Plate,2025-07-18,5.6,low
Flank,2025-07-18,5.5,low
Bone-in Ribeye,2025-07-18,9.2,medium
Brisket,2025-07-18,11.2,medium
Pork Shoulder,2025-07-18,0.0,medium
Top Sirloin Butt,2025-07-18,9.6,medium
Round,2025-07-18,10.5,medium
Striploin Whole,2025-07-18,9.6,medium
Pork Loin,2025-07-18,22.8,best
Chuck Flat,2025-07-18,21.1,best
Pork Belly,2025-07-18,22.3,best
Chuck Primal,2025-07-18,20.8,best
Blade Eyes,2025-07-18,20.6,best
Tenderloin,2025-07-19,1.4,low
Shank,2025-07-19,5.5,low
Wagyu Flat Iron,2025-07-19,5.1,low
6X6 Frenched,2025-07-19,4.8,low
Plate,2025-07-19,4.7,low
Flank,2025-07-19,5.8,low
Bone-in Ribeye,2025-07-19,11.7,medium
Brisket,2025-07-19,11.5,medium
Pork Shoulder,2025-07-19,8.5,medium
Top Sirloin Butt,2025-07-19,11.3,medium
Round,2025-07-19,10.0,medium
Striploin Whole,2025-07-19,3.9,medium
Pork Loin,2025-07-19,22.7,best
Chuck Flat,2025-07-19,22.7,best
Pork Belly,2025-07-19,22.7,best
Chuck Primal,2025-07-19,22.1,best
Blade Eyes,2025-07-19,18.6,best
Tenderloin,2025-07-20,0.7,low
Shank,2025-07-20,3.3,low
Wagyu Flat Iron,2025-07-20,0.9,low
6X6 Frenched,2025-07-20,2.8,low
Plate,2025-07-20,0.4,low
Flank,2025-07-20,1.9,low
Bone-in Ribeye,2025-07-20,8.6,medium
Brisket,2025-07-20,8.9,medium
Pork Shoulder,2025-07-20,4.3,medium
Top Sirloin Butt,2025-07-20,7.5,medium
Round,2025-07-20,2.6,medium
Striploin Whole,2025-07-20,0.0,medium
Pork Loin,2025-07-20,10.7,best
Chuck Flat,2025-07-20,14.5,best
Pork Belly,2025-07-20,6.1,best
Chuck Primal,2025-07-20,5.0,best
Blade Eyes,2025-07-20,0.0,best
Tenderloin,2025-07-21,1.5,low
Shank,2025-07-21,4.7,low
Wagyu Flat Iron,2025-07-21,5.0,low
6X6 Frenched,2025-07-21,5.2,low
Plate,2025-07-21,5.5,low
Flank,2025-07-21,4.8,low
Bone-in Ribeye,2025-07-21,8.7,medium
Brisket,2025-07-21,6.9,medium
Pork Shoulder,2025-07-21,8.6,medium
Top Sirloin Butt,2025-07-21,10.5,medium
Round,2025-07-21,9.6,medium
Striploin Whole,2025-07-21,0.0,medium
Pork Loin,2025-07-21,22.3,best
Chuck Flat,2025-07-21,22.6,best
Pork Belly,2025-07-21,17.0,best
Chuck Primal,2025-07-21,21.8,best
Blade Eyes,2025-07-21,20.2,best
Tenderloin,2025-07-22,1.7,low
Shank,2025-07-22,5.2,low
Wagyu Flat Iron,2025-07-22,5.3,low
6X6 Frenched,2025-07-22,5.6,low
Plate,2025-07-22,5.0,low
Flank,2025-07-22,5.5,low
Bone-in Ribeye,2025-07-22,9.5,medium
Brisket,2025-07-22,5.5,medium
Pork Shoulder,2025-07-22,8.9,medium
Top Sirloin Butt,2025-07-22,8.9,medium
Round,2025-07-22,7.8,medium
Striploin Whole,2025-07-22,0.0,medium
Pork Loin,2025-07-22,22.5,best
Chuck Flat,2025-07-22,23.3,best
Pork Belly,2025-07-22,19.7,best
Chuck Primal,2025-07-22,10.1,best
Blade Eyes,2025-07-22,20.8,best
Tenderloin,2025-07-23,1.9,low
Shank,2025-07-23,5.7,low
Wagyu Flat Iron,2025-07-23,4.9,low
6X6 Frenched,2025-07-23,5.5,low
Plate,2025-07-23,5.6,low
Flank,2025-07-23,5.2,low
Bone-in Ribeye,2025-07-23,8.6,medium
Brisket,2025-07-23,4.0,medium
Pork Shoulder,2025-07-23,9.2,medium
Top Sirloin Butt,2025-07-23,9.8,medium
Round,2025-07-23,7.5,medium
Striploin Whole,2025-07-23,9.1,medium
Pork Loin,2025-07-23,21.8,best
Chuck Flat,2025-07-23,22.3,best
Pork Belly,2025-07-23,8.6,best
Chuck Primal,2025-07-23,0.0,best
Blade Eyes,2025-07-23,20.8,best
Tenderloin,2025-07-24,1.6,low
Shank,2025-07-24,4.9,low
Wagyu Flat Iron,2025-07-24,5.1,low
6X6 Frenched,2025-07-24,5.8,low
Plate,2025-07-24,5.6,low
Flank,2025-07-24,5.3,low
Bone-in Ribeye,2025-07-24,10.5,medium
Brisket,2025-07-24,2.5,medium
Pork Shoulder,2025-07-24,6.9,medium
Top Sirloin Butt,2025-07-24,8.9,medium
Round,2025-07-24,9.5,medium
Striploin Whole,2025-07-24,8.1,medium
Pork Loin,2025-07-24,22.8,best
Chuck Flat,2025-07-24,19.5,best
Pork Belly,2025-07-24,0.0,best
Chuck Primal,2025-07-24,0.0,best
Blade Eyes,2025-07-24,21.2,best
Tenderloin,2025-07-25,1.5,low
Shank,2025-07-25,5.0,low
Wagyu Flat Iron,2025-07-25,5.1,low
6X6 Frenched,2025-07-25,5.2,low
Plate,2025-07-25,5.4,low
Flank,2025-07-25,5.1,low
Bone-in Ribeye,2025-07-25,8.6,medium
Brisket,2025-07-25,9.5,medium
Pork Shoulder,2025-07-25,4.6,medium
Top Sirloin Butt,2025-07-25,10.7,medium
Round,2025-07-25,9.4,medium
Striploin Whole,2025-07-25,9.9,medium
Pork Loin,2025-07-25,14.8,best
Chuck Flat,2025-07-25,20.9,best
Pork Belly,2025-07-25,0.0,best
Chuck Primal,2025-07-25,19.8,best
Blade Eyes,2025-07-25,22.4,best
Tenderloin,2025-07-26,1.4,low
Shank,2025-07-26,5.7,low
Wagyu Flat Iron,2025-07-26,5.2,low
6X6 Frenched,2025-07-26,5.1,low
Plate,2025-07-26,5.9,low
Flank,2025-07-26,4.9,low
Bone-in Ribeye,2025-07-26,9.7,medium
Brisket,2025-07-26,9.5,medium
Pork Shoulder,2025-07-26,1.4,medium
Top Sirloin Butt,2025-07-26,10.9,medium
Round,2025-07-26,9.8,medium
Striploin Whole,2025-07-26,11.4,medium
Pork Loin,2025-07-26,4.8,best
Chuck Flat,2025-07-26,22.5,best
Pork Belly,2025-07-26,0.0,best
Chuck Primal,2025-07-26,5.4,best
Blade Eyes,2025-07-26,18.7,best
Tenderloin,2025-07-27,0.7,low
Shank,2025-07-27,3.5,low
Wagyu Flat Iron,2025-07-27,1.0,low
6X6 Frenched,2025-07-27,3.1,low
Plate,2025-07-27,1.6,low
Flank,2025-07-27,1.0,low
Bone-in Ribeye,2025-07-27,6.6,medium
Brisket,2025-07-27,6.9,medium
Pork Shoulder,2025-07-27,0.0,medium
Top Sirloin Butt,2025-07-27,7.0,medium
Round,2025-07-27,2.4,medium
Striploin Whole,2025-07-27,4.5,medium
Pork Loin,2025-07-27,0.0,best
Chuck Flat,2025-07-27,14.2,best
Pork Belly,2025-07-27,0.0,best
Chuck Primal,2025-07-27,0.0,best
Blade Eyes,2025-07-27,0.0,best
Tenderloin,2025-07-28,1.8,low
Shank,2025-07-28,5.1,low
Wagyu Flat Iron,2025-07-28,5.4,low
6X6 Frenched,2025-07-28,5.2,low
Plate,2025-07-28,5.7,low
Flank,2025-07-28,5.5,low
Bone-in Ribeye,2025-07-28,8.9,medium
Brisket,2025-07-28,9.5,medium
Pork Shoulder,2025-07-28,10.1,medium
Top Sirloin Butt,2025-07-28,9.7,medium
Round,2025-07-28,10.3,medium
Striploin Whole,2025-07-28,9.9,medium
Pork Loin,2025-07-28,23.8,best
Chuck Flat,2025-07-28,19.4,best
Pork Belly,2025-07-28,20.3,best
Chuck Primal,2025-07-28,0.0,best
Blade Eyes,2025-07-28,19.3,best
Tenderloin,2025-07-29,1.5,low
Shank,2025-07-29,5.1,low
Wagyu Flat Iron,2025-07-29,3.1,low
6X6 Frenched,2025-07-29,4.9,low
Plate,2025-07-29,5.3,low
Flank,2025-07-29,5.5,low
Bone-in Ribeye,2025-07-29,11.2,medium
Brisket,2025-07-29,10.9,medium
Pork Shoulder,2025-07-29,9.1,medium
Top Sirloin Butt,2025-07-29,10.9,medium
Round,2025-07-29,10.3,medium
Striploin Whole,2025-07-29,10.5,medium
Pork Loin,2025-07-29,20.3,best
Chuck Flat,2025-07-29,23.3,best
Pork Belly,2025-07-29,23.5,best
Chuck Primal,2025-07-29,0.0,best
Blade Eyes,2025-07-29,17.6,best
Tenderloin,2025-07-30,1.7,low
Shank,2025-07-30,5.4,low
Wagyu Flat Iron,2025-07-30,0.8,low
6X6 Frenched,2025-07-30,5.0,low
Plate,2025-07-30,5.2,low
Flank,2025-07-30,5.5,low
Bone-in Ribeye,2025-07-30,9.3,medium
Brisket,2025-07-30,9.4,medium
Pork Shoulder,2025-07-30,8.8,medium
Top Sirloin Butt,2025-07-30,9.6,medium
Round,2025-07-30,9.0,medium
Striploin Whole,2025-07-30,9.6,medium
Pork Loin,2025-07-30,22.2,best
Chuck Flat,2025-07-30,21.2,best
Pork Belly,2025-07-30,21.7,best
Chuck Primal,2025-07-30,0.0,best
Blade Eyes,2025-07-30,22.0,best
Tenderloin,2025-07-31,1.6,low
Shank,2025-07-31,5.0,low
Wagyu Flat Iron,2025-07-31,0.0,low
6X6 Frenched,2025-07-31,5.3,low
Plate,2025-07-31,5.4,low
Flank,2025-07-31,5.5,low
Bone-in Ribeye,2025-07-31,8.6,medium
Brisket,2025-07-31,8.0,medium
Pork Shoulder,2025-07-31,10.5,medium
Top Sirloin Butt,2025-07-31,11.4,medium
Round,2025-07-31,7.4,medium
Striploin Whole,2025-07-31,10.8,medium
Pork Loin,2025-07-31,21.0,best
Chuck Flat,2025-07-31,22.1,best
Pork Belly,2025-07-31,20.8,best
Chuck Primal,2025-07-31,0.0,best
Blade Eyes,2025-07-31,21.6,best
Tenderloin,2025-08-01,1.8,low
Shank,2025-08-01,5.5,low
Wagyu Flat Iron,2025-08-01,0.0,low
6X6 Frenched,2025-08-01,5.1,low
Plate,2025-08-01,5.9,low
Flank,2025-08-01,4.9,low
Bone-in Ribeye,2025-08-01,9.0,medium
Brisket,2025-08-01,6.5,medium
Pork Shoulder,2025-08-01,11.2,medium
Top Sirloin Butt,2025-08-01,9.3,medium
Round,2025-08-01,11.2,medium
Striploin Whole,2025-08-01,9.7,medium
Pork Loin,2025-08-01,22.4,best
Chuck Flat,2025-08-01,22.6,best
Pork Belly,2025-08-01,23.2,best
Chuck Primal,2025-08-01,0.0,best
Blade Eyes,2025-08-01,20.1,best
Tenderloin,2025-08-02,1.4,low
Shank,2025-08-02,5.4,low
Wagyu Flat Iron,2025-08-02,4.7,low
6X6 Frenched,2025-08-02,5.0,low
Plate,2025-08-02,5.5,low
Flank,2025-08-02,5.3,low
Bone-in Ribeye,2025-08-02,9.8,medium
Brisket,2025-08-02,8.4,medium
Pork Shoulder,2025-08-02,8.0,medium
Top Sirloin Butt,2025-08-02,7.9,medium
Round,2025-08-02,8.5,medium
Striploin Whole,2025-08-02,7.4,medium
Pork Loin,2025-08-02,20.2,best
Chuck Flat,2025-08-02,22.3,best
Pork Belly,2025-08-02,21.3,best
Chuck Primal,2025-08-02,20.3,best
Blade Eyes,2025-08-02,18.4,best
Tenderloin,2025-08-03,0.6,low
Shank,2025-08-03,3.2,low
Wagyu Flat Iron,2025-08-03,0.6,low
6X6 Frenched,2025-08-03,3.0,low
Plate,2025-08-03,1.2,low
Flank,2025-08-03,1.4,low
Bone-in Ribeye,2025-08-03,6.7,medium
Brisket,2025-08-03,5.8,medium
Pork Shoulder,2025-08-03,3.8,medium
Top Sirloin Butt,2025-08-03,4.1,medium
Round,2025-08-03,1.1,medium
Striploin Whole,2025-08-03,0.6,medium
Pork Loin,2025-08-03,8.2,best
Chuck Flat,2025-08-03,14.0,best
Pork Belly,2025-08-03,4.6,best
Chuck Primal,2025-08-03,3.3,best
Blade Eyes,2025-08-03,0.0,best
Tenderloin,2025-08-04,1.6,low
Shank,2025-08-04,5.7,low
Wagyu Flat Iron,2025-08-04,4.1,low
6X6 Frenched,2025-08-04,5.5,low
Plate,2025-08-04,5.1,low
Flank,2025-08-04,4.8,low
Bone-in Ribeye,2025-08-04,11.8,medium
Brisket,2025-08-04,3.8,medium
Pork Shoulder,2025-08-04,0.6,medium
Top Sirloin Butt,2025-08-04,7.6,medium
Round,2025-08-04,8.4,medium
Striploin Whole,2025-08-04,9.1,medium
Pork Loin,2025-08-04,22.1,best
Chuck Flat,2025-08-04,20.7,best
Pork Belly,2025-08-04,21.3,best
Chuck Primal,2025-08-04,21.6,best
Blade Eyes,2025-08-04,21.6,best
Tenderloin,2025-08-05,1.7,low
Shank,2025-08-05,5.5,low
Wagyu Flat Iron,2025-08-05,5.1,low
6X6 Frenched,2025-08-05,5.9,low
Plate,2025-08-05,5.6,low
Flank,2025-08-05,5.5,low
Bone-in Ribeye,2025-08-05,10.0,medium
Brisket,2025-08-05,2.3,medium
Pork Shoulder,2025-08-05,9.1,medium
Top Sirloin Butt,2025-08-05,5.5,medium
Round,2025-08-05,9.9,medium
Striploin Whole,2025-08-05,10.3,medium
Pork Loin,2025-08-05,24.0,best
Chuck Flat,2025-08-05,23.6,best
Pork Belly,2025-08-05,22.1,best
Chuck Primal,2025-08-05,23.1,best
Blade Eyes,2025-08-05,21.9,best
Tenderloin,2025-08-06,1.4,low
Shank,2025-08-06,5.4,low
Wagyu Flat Iron,2025-08-06,5.0,low
6X6 Frenched,2025-08-06,5.1,low
Plate,2025-08-06,5.1,low
Flank,2025-08-06,5.4,low
Bone-in Ribeye,2025-08-06,10.1,medium
Brisket,2025-08-06,0.9,medium
Pork Shoulder,2025-08-06,8.5,medium
Top Sirloin Butt,2025-08-06,3.3,medium
Round,2025-08-06,4.5,medium
Striploin Whole,2025-08-06,9.7,medium
Pork Loin,2025-08-06,21.6,best
Chuck Flat,2025-08-06,22.7,best
Pork Belly,2025-08-06,22.1,best
Chuck Primal,2025-08-06,21.3,best
Blade Eyes,2025-08-06,6.2,best
Tenderloin,2025-08-07,1.5,low
Shank,2025-08-07,5.1,low
Wagyu Flat Iron,2025-08-07,5.1,low
6X6 Frenched,2025-08-07,5.5,low
Plate,2025-08-07,5.6,low
Flank,2025-08-07,5.0,low
Bone-in Ribeye,2025-08-07,11.2,medium
Brisket,2025-08-07,0.0,medium
Pork Shoulder,2025-08-07,8.0,medium
Top Sirloin Butt,2025-08-07,1.2,medium
Round,2025-08-07,0.0,medium
Striploin Whole,2025-08-07,9.9,medium
Pork Loin,2025-08-07,21.9,best
Chuck Flat,2025-08-07,21.2,best
Pork Belly,2025-08-07,24.0,best
Chuck Primal,2025-08-07,20.4,best
Blade Eyes,2025-08-07,0.0,best
Tenderloin,2025-08-08,1.9,low
Shank,2025-08-08,5.7,low
Wagyu Flat Iron,2025-08-08,5.4,low
6X6 Frenched,2025-08-08,5.1,low
Plate,2025-08-08,5.5,low
Flank,2025-08-08,5.4,low
Bone-in Ribeye,2025-08-08,9.4,medium
Brisket,2025-08-08,9.4,medium
Pork Shoulder,2025-08-08,7.8,medium
Top Sirloin Butt,2025-08-08,11.3,medium
Round,2025-08-08,0.0,medium
Striploin Whole,2025-08-08,8.4,medium
Pork Loin,2025-08-08,22.0,best
Chuck Flat,2025-08-08,21.8,best
Pork Belly,2025-08-08,20.6,best
Chuck Primal,2025-08-08,8.8,best
Blade Eyes,2025-08-08,0.0,best
Tenderloin,2025-08-09,1.9,low
Shank,2025-08-09,5.1,low
Wagyu Flat Iron,2025-08-09,5.1,low
6X6 Frenched,2025-08-09,5.4,low
Plate,2025-08-09,5.8,low
Flank,2025-08-09,4.9,low
Bone-in Ribeye,2025-08-09,9.6,medium
Brisket,2025-08-09,11.6,medium
Pork Shoulder,2025-08-09,10.9,medium
Top Sirloin Butt,2025-08-09,8.4,medium
Round,2025-08-09,7.5,medium
Striploin Whole,2025-08-09,9.5,medium
Pork Loin,2025-08-09,22.9,best
Chuck Flat,2025-08-09,21.4,best
Pork Belly,2025-08-09,21.5,best
Chuck Primal,2025-08-09,0.0,best
Blade Eyes,2025-08-09,0.0,best
Tenderloin,2025-08-10,1.2,low
Shank,2025-08-10,2.9,low
Wagyu Flat Iron,2025-08-10,0.9,low
6X6 Frenched,2025-08-10,3.4,low
Plate,2025-08-10,1.5,low
Flank,2025-08-10,1.0,low
Bone-in Ribeye,2025-08-10,6.5,medium
Brisket,2025-08-10,9.0,medium
Pork Shoulder,2025-08-10,6.7,medium
Top Sirloin Butt,2025-08-10,4.5,medium
Round,2025-08-10,0.1,medium
Striploin Whole,2025-08-10,2.7,medium
Pork Loin,2025-08-10,10.9,best
Chuck Flat,2025-08-10,13.1,best
Pork Belly,2025-08-10,4.9,best
Chuck Primal,2025-08-10,0.0,best
Blade Eyes,2025-08-10,0.0,best
Tenderloin,2025-08-11,1.7,low
Shank,2025-08-11,5.2,low
Wagyu Flat Iron,2025-08-11,5.5,low
6X6 Frenched,2025-08-11,5.0,low
Plate,2025-08-11,5.3,low
Flank,2025-08-11,4.8,low
Bone-in Ribeye,2025-08-11,9.5,medium
Brisket,2025-08-11,9.8,medium
Pork Shoulder,2025-08-11,10.3,medium
Top Sirloin Butt,2025-08-11,8.4,medium
Round,2025-08-11,9.6,medium
Striploin Whole,2025-08-11,10.2,medium
Pork Loin,2025-08-11,21.7,best
Chuck Flat,2025-08-11,18.9,best
Pork Belly,2025-08-11,21.6,best
Chuck Primal,2025-08-11,21.5,best
Blade Eyes,2025-08-11,19.0,best
Tenderloin,2025-08-12,1.5,low
Shank,2025-08-12,4.0,low
Wagyu Flat Iron,2025-08-12,5.2,low
6X6 Frenched,2025-08-12,5.1,low
Plate,2025-08-12,4.7,low
